Downloading zstandard (5.3MiB)
Downloading pydantic-core (2.0MiB)
 Downloaded pydantic-core
 Downloaded zstandard
Installed 45 packages in 24ms
| mtrag-674aa142d9-t4 | 6 | yes | yes | - | yes | no | 723 | - | example words of disgust that IBM Watson Emotion Analysis can detect |
| mtrag-e0f8a53d3a-t4 | 6 | yes | yes | - | yes | no | 838 | yes | online self-help resources for investing; best books for learning investing; free courses on investing |
| mtrag-4c86c8740c-t4 | 6 | yes | yes | - | yes | no | 1006 | no | best practices for IBM Cloud Kubernetes Service; security practices for IBM Cloud Kubernetes Service; optimization practices for IBM Cloud Kubernetes Service |
| mtrag-5b9edac124-t1 | 0 | yes | yes | - | yes | no | 822 | - | Were Shakespeare's plays popular during his lifetime?; Shakespeare's plays popularity in 16th century England |
| mtrag-3f5fa37823-t2 | 2 | yes | yes | - | no | no | 823 | - | average distance between moon and earth; current distance between moon and earth 2026 |
| mtrag-4175fcce99-t1 | 0 | yes | yes | - | yes | no | 1013 | - | evolution of cloud computing security protocols; security implications of restoring volumes from backup snapshots in IBM Cloud VPC; IBM Cloud VPC backup snapshot security protocols |
| mtrag-2f01333723-t7 | 12 | yes | yes | - | yes | no | 748 | - | IBM Immutable Object Storage vs Immutable Data Storage |
| mtrag-694e275f1a-t6 | 10 | yes | yes | - | yes | no | 1086 | no | special diet for soccer players; nutrition for becoming a good soccer player; diet plan for professional soccer players |
| mtrag-941445ba11-t1 | 0 | yes | yes | - | yes | no | 878 | - | What does a small claims court do; Functions of a small claims court; Role of small claims court in legal system |
| mtrag-1c74814752-t7 | 12 | yes | yes | - | yes | no | 1137 | no | What are the different types of investments?; How do investments work?; What are the benefits of investing? |
| mtrag-1065ea5ad1-t4 | 6 | yes | yes | - | yes | no | 994 | yes | example code for installing IBM Cloud Functions SDK using Carthage from source code; carthage install IBM Cloud Functions SDK source code example |
| mtrag-5e79e46513-t2 | 2 | yes | yes | - | yes | no | 758 | no | minimum age to get a learner's permit in California; California driver's permit age requirements |
| mtrag-ccdfb6b6f9-t7 | 12 | yes | yes | - | yes | no | 1191 | - | What is the NASA Discovery Program?; Is the Deep Impact Mission part of the NASA Discovery Program? |
| mtrag-f3a917e029-t5 | 8 | yes | yes | - | yes | no | 852 | - | Is privacy protected in CIS?; Privacy protection in IBM Cloud Internet Services |
| mtrag-4a8369b740-t3 | 4 | yes | yes | - | yes | no | 990 | no | How can a US resident buy and sell stocks on foreign markets; US investors buying foreign stocks; Trading foreign markets from the US |
| mtrag-5c13daa943-t1 | 0 | yes | yes | - | no | no | 745 | - | where is bone marrow found in the body; functions of bone marrow in the human body |
| mtrag-124e27c386-t1 | 0 | yes | yes | - | no | no | 947 | - | How to file a complaint with the state; Steps to file a complaint with the state government; Filing a complaint with the state process |
| mtrag-6528deeee4-t7 | 12 | yes | yes | - | yes | no | 1044 | yes | other major industries in India; key industries in India besides agriculture and retail; industrial sectors in India besides agriculture |
| mtrag-7cb06b3f80-t2 | 2 | yes | yes | - | yes | no | 1253 | yes | How does a cosigner's responsibility work if the borrower fails to pay the loan?; What happens if a borrower defaults on a loan with a cosigner?; Cosigner responsibility in loan repayment process |
| mtrag-35e6be0f20-t2 | 2 | yes | yes | - | yes | no | 1012 | yes | How to file a restraining order in the United States; Steps to file a restraining order without notifying the other person; Legal process for obtaining a restraining order |
| mtrag-6495c82abb-t2 | 2 | yes | yes | - | yes | no | 805 | - | Is sea level rising?; Current trends in sea level rise; Scientific consensus on sea level rise |
| mtrag-1be6627211-t4 | 6 | yes | yes | - | yes | no | 806 | - | Are conversations monitored in cloud services?; What are the privacy policies regarding conversation monitoring in cloud platforms? |
| mtrag-dd82f0f978-t3 | 4 | yes | yes | - | yes | no | 976 | yes | Have any European teams played in the MLS All-Star Games?; European clubs in MLS All-Star Games history; MLS All-Star Game European team participation |
| mtrag-c5518952b7-t2 | 2 | yes | yes | - | yes | no | 795 | yes | Is it free to open a second bank account?; Cost of opening a second bank account in different countries |
| mtrag-d2432696b3-t2 | 2 | yes | yes | - | yes | no | 824 | - | important discoveries made by Juno spacecraft during its journey to Jupiter; findings of Juno spacecraft on Jupiter |
| mtrag-34ac6bedd4-t6 | 10 | yes | yes | - | yes | no | 1321 | yes | How does Red Hat OpenShift help in managing containerized applications?; What are the key benefits of using Red Hat OpenShift for enterprise workloads?; How does Red Hat OpenShift support hybrid and multi-cloud environments? |
| mtrag-47b2471404-t8 | 14 | yes | yes | - | yes | no | 886 | yes | types of IBM Cloud account types; IBM Cloud account types and their features |
| mtrag-be461bfeda-t7 | 12 | yes | no | - | no | no | 557 | - |  |
| mtrag-5b2404d71f-t2 | 2 | yes | yes | - | yes | no | 918 | yes | items to keep in a safe room; essential supplies for shelter-in-place rooms; what to store in a safe room for emergencies |
| mtrag-f05ba9633e-t1 | 0 | yes | yes | - | yes | no | 1042 | - | risks of putting someone's name on a house purchase; legal implications of being on a house deed; financial risks of being a co-buyer on a house |
| mtrag-1dcbbeb35d-t3 | 4 | yes | no | - | no | no | 386 | - |  |
| mtrag-d5f0e7023a-t2 | 2 | yes | yes | - | yes | no | 947 | yes | Where does the West Branch of the Penobscot River start?; Where does the West Branch of the Penobscot River end? |
| mtrag-94d04f2cd4-t8 | 14 | yes | no | - | yes | no | 542 | no |  |
| mtrag-5600fe1c05-t4 | 6 | yes | yes | - | yes | no | 853 | yes | What equipment is needed for skywatching?; Is any equipment required for viewing the stars? |
| mtrag-62a5aee8a4-t1 | 0 | yes | yes | - | yes | no | 651 | - | What is groundwater contamination?; Causes and effects of groundwater contamination |
| mtrag-717ca9138f-t3 | 4 | yes | yes | - | yes | no | 759 | - | How many seasons does Friends have?; When did Friends start?; When did Friends end? |
| mtrag-8040ccdfc0-t4 | 6 | yes | yes | - | yes | no | 1106 | - | best credit cards for rewards 2026; credit cards with no annual fee 2026; top credit cards for travel rewards 2026 |
| mtrag-1534a09527-t1 | 0 | yes | yes | - | yes | no | 822 | - | who takes photos of planes in the air; photographers capturing planes in flight; airplane photography techniques |
| mtrag-c1e53df98a-t5 | 8 | yes | yes | - | yes | no | 935 | - | E. E. Cummings biography; E. E. Cummings famous works; E. E. Cummings poetic style |
| mtrag-d5b1e735a0-t5 | 8 | yes | yes | - | yes | no | 788 | yes | IBM Cloudant attachment file size limits 2026; IBM Cloudant maximum attachment size |
| mtrag-95a0893567-t2 | 2 | yes | yes | - | no | no | 529 | yes | length of the Great Wall of China |
| mtrag-cfbcfa3e38-t2 | 2 | yes | yes | - | yes | no | 783 | - | Where do domestic guinea pigs live?; What is the activity pattern of domestic guinea pigs? |
| mtrag-ca6f0197d2-t3 | 4 | yes | yes | - | yes | no | 1013 | yes | What is a FICO score and how does it differ from a Credit Karma score?; Is Credit Karma score the same as FICO score? |
| mtrag-a3f07e9ed5-t4 | 6 | yes | yes | - | yes | no | 977 | - | Did Grenade by Bruno Mars become a hit?; Chart performance of Grenade by Bruno Mars; Commercial success of Grenade by Bruno Mars |
| mtrag-766728e82e-t2 | 2 | yes | yes | - | yes | no | 776 | no | Can I see Jupiter's rings from outside a city; Light pollution effect on viewing Jupiter's rings |
| mtrag-af57ff6995-t3 | 4 | yes | yes | - | yes | no | 943 | no | Does the VA use a separate procurement tool from OSG?; VA procurement process and tools used; OSG procurement tools and VA usage |
| mtrag-dc1aaac0b3-t2 | 2 | yes | yes | - | yes | no | 1197 | yes | Forex trading strategies to make $250,000 in 5 years; Forex trading risks and rewards; How to start Forex trading with $500,000 |
| mtrag-91715ec6ec-t8 | 14 | yes | yes | - | yes | no | 1146 | no | New York State boating safety regulations; safety tips for boating in New York; important boating safety information for New York |
| mtrag-4da5a7f42f-t6 | 10 | yes | yes | - | yes | no | 1054 | - | how to dispute a wrongful credit report in the US; steps to correct incorrect credit report information; what to do if you are wrongly reported on your credit report |
| mtrag-8a19ee37ca-t2 | 2 | yes | no | - | yes | no | 385 | no |  |
| mtrag-41a4006bfa-t1 | 0 | yes | yes | - | no | no | 529 | - | When did the Berlin Wall come down |
| mtrag-61374b240d-t5 | 8 | yes | yes | - | yes | no | 1031 | yes | What is considered long term investing in the stock market?; How long is a long term investment period?; What are the typical time frames for long term investing? |
| mtrag-535ebd3063-t3 | 4 | yes | yes | - | yes | no | 1089 | no | 0% interest car loan vs cash payment benefits; advantages of 0% interest loan compared to paying cash; benefits of 0% interest loan and cash payment |
| mtrag-13a398b300-t2 | 2 | yes | no | - | yes | no | 387 | no |  |
| mtrag-af5e45e59e-t4 | 6 | yes | yes | - | yes | no | 1052 | yes | SEC filing requirements for publicly traded companies; SEC filing deadlines for financial statements; SEC registration and reporting requirements for US-based companies |
| mtrag-d7b4f863ba-t6 | 10 | yes | yes | - | no | no | 544 | no | What is a galaxy? |
| mtrag-2f94b6fb4c-t2 | 2 | yes | yes | - | yes | no | 1100 | no | How is 401k account taxed in the US; Tax implications of 401k contributions and withdrawals; 401k tax treatment for different income levels |
| mtrag-62888f39e7-t1 | 0 | yes | yes | - | yes | no | 1352 | - | Number of motorcycle collision fatalities in New York City annually; Motorcycle accident deaths in New York State 2025; Fatal motorcycle crashes in New York City 2026 |
| mtrag-0208bf26ec-t3 | 4 | yes | yes | - | yes | no | 880 | - | Cavia tschudii diet in the wild; What do Cavia tschudii eat in their natural habitat |
| mtrag-5815bb4a99-t2 | 2 | yes | yes | - | yes | no | 795 | no | comparison of dynamic and static secrets in terms of vulnerability protection; security benefits of dynamic secrets over static secrets |
| mtrag-d44c3196b3-t1 | 0 | yes | yes | - | yes | no | 708 | - | Web extension for federal government websites; How to ensure security of federal government websites |
| mtrag-2cc753bcef-t5 | 8 | yes | yes | - | yes | no | 1145 | yes | How to avoid missing garbage collection during holidays in City of Piedmont; Garbage collection schedule adjustments for holidays in Piedmont; Tips for ensuring garbage collection on time during holidays in Piedmont |
| mtrag-1c041ce47a-t7 | 12 | yes | yes | - | yes | no | 1079 | - | How to create schema or tables in a data lake; Steps to create tables in a data lake using object storage; Creating schema in a data lake for structured data |
| mtrag-747a810abf-t1 | 0 | yes | yes | - | yes | no | 998 | - | How to build a client application using dialogue nodes; Steps to implement dialogue nodes in a client application; Best practices for using dialogue nodes in application development |
| mtrag-4751cd8210-t8 | 14 | yes | no | - | yes | no | 412 | no |  |
| mtrag-6a738cc02c-t1 | 0 | yes | yes | - | yes | no | 670 | - | types and causes of male infertility; types and causes of female infertility |
| mtrag-5503c6e98c-t6 | 10 | yes | yes | - | yes | no | 889 | no | Mars missions by other countries; International Mars exploration missions; Non-US Mars missions |
| mtrag-c6c3b02ca3-t8 | 14 | yes | yes | - | yes | no | 953 | - | How to grant access to IBM Cloud Container Registry; Container Registry access management IBM Cloud; Granting access to IBM Cloud Container Registry images |
| mtrag-258193fc88-t9 | 16 | yes | yes | - | yes | no | 1027 | yes | How to find a good estate planning lawyer; Best ways to choose an estate lawyer; Steps to select a qualified estate planning attorney |
| mtrag-f0d2873b87-t8 | 14 | yes | yes | - | yes | no | 959 | - | Spousal support laws in different states; How to file for spousal support; Spousal support guidelines and calculations |
| mtrag-20c2cbd18c-t1 | 0 | yes | no | - | yes | no | 377 | - |  |
| mtrag-33431330ab-t1 | 0 | yes | yes | - | yes | no | 821 | - | why was the eastern roman empire called the byzantine empire; origin of the name byzantine empire |
| mtrag-e9dd465e8d-t2 | 2 | yes | no | - | yes | no | 392 | no |  |
| mtrag-aea2634b0e-t3 | 4 | yes | yes | - | yes | no | 883 | no | How are weddings celebrated in different cultures; Wedding traditions around the world; Ceremonial practices of weddings globally |
| mtrag-79f0d0539d-t5 | 8 | yes | yes | - | yes | no | 899 | - | importance of Celts in history; role of Celts in ancient Europe; contribution of Celts to European history |
| mtrag-f1121a39d8-t4 | 6 | yes | yes | - | yes | no | 944 | yes | What makes a good manager in business; Qualities of a good business manager; Skills required for effective management |
| mtrag-927077bd89-t5 | 8 | no | no | - | no | no | 523 | - |  |
| mtrag-adf9b1f61c-t7 | 12 | yes | yes | - | yes | no | 1111 | - | Process of managing payments on IBM Cloud; How to manage payments in IBM Cloud console; Steps to update payment method on IBM Cloud |
| mtrag-6af5334fbd-t3 | 4 | yes | yes | - | no | no | 652 | no | typical down payment amount for a mortgage 2026 |
| mtrag-b2805ee4c4-t4 | 6 | yes | yes | - | yes | no | 975 | - | impact of cotton gin on American Civil War; role of cotton gin in causing American Civil War; cotton gin and slavery connection |
| mtrag-81afaf82a0-t3 | 4 | yes | no | - | yes | no | 531 | no |  |
| mtrag-dcc0215a11-t4 | 6 | yes | yes | - | yes | no | 528 | - | Why do municipalities issue bonds |
| mtrag-2b34f5e786-t4 | 6 | yes | yes | - | yes | no | 1110 | - | Germany's current economic strength 2026; Germany's economy status 2026; Germany's economic performance 2026 |
| mtrag-04f83f1199-t1 | 0 | yes | yes | - | yes | no | 1030 | - | Does physical activity affect academic performance in children?; How does being active influence school performance in kids?; What is the relationship between exercise and academic achievement in students? |
| mtrag-4fb9958d3e-t5 | 8 | yes | yes | - | yes | no | 935 | - | small business credit card benefits; small business credit card requirements; small business credit card options |
| mtrag-0ef145e499-t6 | 10 | yes | yes | - | yes | no | 724 | yes | Can government websites be hacked by other states?; Security measures for government websites against hacking |
| mtrag-91204c45fc-t1 | 0 | yes | yes | - | yes | no | 899 | - | Doctor Strange's powers source in Marvel Comics; How does Doctor Strange obtain his powers; Origin of Doctor Strange's magical abilities |
| mtrag-fdee20f7fd-t3 | 4 | yes | yes | - | yes | no | 817 | - | How to extend a web chat widget; Extending web chat functionality; Customizing web chat widget features |
| mtrag-72ba19c385-t8 | 14 | yes | yes | - | yes | no | 1223 | yes | Do NASA Space Place games use guns in general?; Are there any guns in NASA Space Place educational games?; Are guns used in any of the NASA Space Place games? |
| mtrag-251e29286c-t2 | 2 | yes | yes | - | yes | no | 1032 | yes | how long does it take to get covid test results with medicaid; medicaid covid test result turnaround time; time frame for covid test results with medicaid |
| mtrag-a6eab3f851-t2 | 2 | yes | yes | - | yes | no | 1570 | yes | Can F-1 students use 1040NR-EZ for non-resident alien taxes?; Is 1040NR-EZ suitable for F-1 students with investment income?; Can F-1 students file 1040NR-EZ for foreign investment income? |
| mtrag-f0d3086322-t8 | 14 | yes | yes | - | yes | no | 1143 | - | How does the Stock Exchange work?; What is the process of trading on the stock exchange?; How do stock exchanges facilitate buying and selling of stocks? |
| mtrag-5f9ccf0a4f-t4 | 6 | yes | yes | - | yes | no | 1146 | yes | current mortgage scams 2026; common mortgage fraud schemes 2026; latest mortgage scam trends 2026 |
| mtrag-f5a8ca2f2b-t9 | 16 | yes | yes | - | no | no | 831 | - | What is a search skill in Watson Assistant?; Advantages of using a search skill in dialog |
| mtrag-fd99b316e5-t1 | 0 | yes | yes | - | yes | no | 947 | - | how does the mls all star game work; mls all star game format and rules; mls all star game history and structure |
| mtrag-2f484ad8f3-t4 | 6 | yes | yes | - | yes | no | 770 | yes | Who funds the NASA Europa Clipper mission?; Funding sources for the Europa Clipper mission |
| mtrag-ddbbbe7ea1-t4 | 6 | yes | no | - | yes | no | 442 | - |  |
| mtrag-3a07680acf-t1 | 0 | yes | yes | - | no | no | 1068 | - | Categories of people who should get a flu vaccine; High-risk groups for flu vaccination; Who needs flu vaccine most |
| mtrag-d4d8edb3e0-t4 | 6 | yes | yes | - | yes | no | 942 | - | balance transfer credit card benefits and risks; how does a balance transfer work; is balance transfer a good idea |
| mtrag-29e3ec96a6-t5 | 8 | yes | yes | - | no | no | 659 | - | How to pronounce Vallabhbhai Patel |
| mtrag-e1b602e47d-t7 | 12 | yes | yes | - | yes | no | 777 | - | How to set bidirectional capabilities in Watson Assistant for right-to-left languages |
| mtrag-e52ab8d5f6-t8 | 14 | yes | yes | - | yes | no | 1090 | yes | impact of global warming on West Nile virus survival and spread; how climate change affects West Nile virus transmission; effects of warming trends on West Nile virus |
| mtrag-dc1aaac0b3-t5 | 8 | no | yes | - | yes | no | 925 | - | IRA contribution limits for 2026; can you start day trading with a 50k IRA deposit |
| mtrag-dc1aaac0b3-t8 | 14 | no | yes | - | yes | no | 946 | - | pattern day trader rules for ira accounts; can you day trade in an ira account with $5500 |
| mtrag-a6eab3f851-t3 | 4 | no | no | - | no | no | 386 | - |  |
| mtrag-c01c8cf114-t7 | 12 | no | yes | - | yes | no | 764 | - | latest version of Carthage; where to download Carthage |
| mtrag-8040ccdfc0-t1 | 0 | no | no | - | no | no | 385 | - |  |
| mtrag-8040ccdfc0-t5 | 8 | no | no | - | no | no | 381 | - |  |
| mtrag-2f01333723-t9 | 16 | no | yes | - | yes | no | 1049 | - | IBM Immutable Object Storage vs Immutable Data Storage; IBM Immutable Object Storage features and limitations; IBM Immutable Object Storage vs on-premises storage |
| qrecc-132-t2 | 2 | yes | yes | - | yes | no | 878 | yes | What was the lockout in 2005?; Details about the 2005 NHL lockout |
| qrecc-2192-t5 | 8 | yes | yes | - | yes | no | 1051 | yes | percentage of juvenile offenses committed by females in the United States; female juvenile delinquency statistics; gender distribution in juvenile court cases |
| qrecc-2523-t4 | 6 | yes | yes | - | no | no | 542 | yes | Who wrote the film Boys Town |
| qrecc-239-t3 | 4 | yes | yes | - | yes | no | 777 | yes | Bernard Lewis research topics; Bernard Lewis academic research; Bernard Lewis scholarly work |
| qrecc-2640-t2 | 2 | yes | yes | - | yes | no | 707 | yes | When did the book 'Peter and the Starcatchers' come out? |
| qrecc-1199-t7 | 10 | yes | no | - | no | no | 418 | no |  |
| qrecc-1627-t6 | 10 | yes | yes | - | yes | no | 1626 | yes | Mary J. Blige interesting performances 2011-2013; Mary J. Blige notable performances 2011-2013; Mary J. Blige unique performances 2011-2013 |
| qrecc-1618-t6 | 9 | yes | yes | - | yes | no | 773 | yes | When was The Salaminian Women written by Aeschylus |
| qrecc-88-t3 | 4 | yes | no | - | no | no | 393 | no |  |
| qrecc-2598-t5 | 8 | yes | yes | - | yes | no | 823 | yes | differences between United Nations and League of Nations; comparison of United Nations and League of Nations |
| qrecc-1170-t3 | 4 | yes | yes | - | yes | no | 1005 | yes | Alexander Graham Bell's age when he invented the dehusking machine; When did Alexander Graham Bell invent the dehusking machine |
| qrecc-211-t5 | 8 | yes | no | - | yes | no | 432 | no |  |
| qrecc-121-t2 | 2 | yes | yes | - | no | no | 1135 | yes | Where was Erich Ludendorff based after joining the 57th Infantry Regiment in 1885; Erich Ludendorff's postings after 1885 |
| qrecc-310-t6 | 9 | yes | no | - | yes | no | 444 | no |  |
| qrecc-237-t3 | 4 | yes | yes | - | yes | no | 1579 | no | What kind of jobs did John Evans find after returning to New York City?; Jobs John Evans found after returning to New York City in 1955; What kind of jobs did John Evans find after his return to New York City in 1955? |
| qrecc-1796-t2 | 2 | yes | yes | - | yes | no | 902 | yes | Was Love Is a Four Letter Word an album by Jason Mraz?; Is Love Is a Four Letter Word a studio album? |
| qrecc-365-t4 | 6 | yes | yes | - | yes | no | 893 | yes | Hubert Humphrey's concession speech to Nixon 1968; Content of Humphrey's concession speech to Nixon |
| qrecc-2012-t4 | 6 | yes | yes | - | yes | no | 647 | yes | release date of You Don't Know Me by Jax Jones |
| qrecc-1783-t8 | 14 | yes | no | - | yes | no | 442 | no |  |
| qrecc-1620-t6 | 10 | yes | yes | - | no | no | 564 | yes | Where does Arnold Palmer currently live? |
| qrecc-479-t2 | 2 | yes | yes | - | no | no | 626 | yes | Do Nikki Sixx and Courtney Bingham have any children? |
| qrecc-1924-t3 | 4 | yes | yes | - | yes | no | 804 | yes | meaning of glycine discovery in comet samples; significance of glycine in comet samples for life |
| qrecc-2269-t2 | 2 | yes | yes | - | no | no | 641 | yes | Where were the 2018 Winter Olympic Games held |
| qrecc-303-t7 | 12 | yes | yes | - | yes | no | 1190 | no | Did Rogue Traders' later music do well on the charts?; Chart performance of Rogue Traders' later albums; Rogue Traders' later music success |
| qrecc-1181-t5 | 8 | yes | yes | - | yes | no | 749 | yes | What was the documentary 'America: Imagine the World Without Her' about? |
| qrecc-1001-t3 | 4 | yes | yes | - | yes | no | 909 | yes | Where did Bernard Lewis study after the School of Oriental Studies?; Did Bernard Lewis attend any other universities besides the University of London? |
| qrecc-186-t4 | 5 | yes | yes | - | yes | no | 1055 | yes | Larry Bird's contributions to the Boston Celtics; Larry Bird's impact on the team; Larry Bird's role and contributions in the NBA |
| qrecc-284-t2 | 2 | yes | yes | - | yes | no | 783 | yes | Steve McQueen Ford commercials count; Did Steve McQueen appear in more than one Ford commercial |
| qrecc-513-t2 | 2 | yes | yes | - | yes | no | 1100 | yes | John F. Kennedy Jr. academic performance at Brown University; John F. Kennedy Jr. grades in college; John F. Kennedy Jr. academic achievements |
| qrecc-1949-t5 | 8 | yes | no | - | no | no | 411 | no |  |
| qrecc-24-t7 | 12 | yes | yes | - | yes | no | 610 | - | cold turkey method for quitting smoking |
| qrecc-1923-t3 | 4 | yes | yes | - | yes | no | 841 | yes | Who was John Stape married to in Coronation Street; Hope's father's wife in Coronation Street |
| qrecc-2344-t4 | 6 | yes | yes | - | yes | no | 1069 | yes | Great Bristlecone pine distribution; Where is Pinus longaeva found; Geographical location of Great Basin bristlecone pine |
| qrecc-2008-t4 | 6 | yes | yes | - | yes | no | 829 | yes | Viking Age start year; Viking Age end year; When did the Viking Age take place |
| qrecc-884-t8 | 14 | yes | yes | - | yes | no | 1313 | yes | How did the song Midnight Marauders perform with the German label Sonar Kollektiv?; What was the impact of Midnight Marauders on Fat Freddy's Drop's international recognition? |
| qrecc-2201-t3 | 4 | yes | yes | - | yes | no | 1228 | yes | where was the new england patriots vs jacksonville jaguars game on 9/16/18; location of patriots vs jaguars game 9/16/18 |
| qrecc-26-t6 | 10 | yes | yes | - | yes | no | 736 | yes | How are chemical compounds formed?; Formation of different types of chemical compounds |
| qrecc-2247-t2 | 2 | yes | no | - | yes | no | 379 | no |  |
| qrecc-159-t7 | 12 | yes | yes | - | yes | no | 1021 | yes | Important aspects of Spice Girls' Girl Power; Key elements of Spice Girls' Girl Power message; Main themes of Spice Girls' Girl Power |
| qrecc-1437-t3 | 4 | yes | yes | - | yes | no | 1134 | no | interesting aspects of Sly and the Family Stone's internal problems; other notable events during Sly and the Family Stone's decline; key factors contributing to Sly and the Family Stone's internal conflicts |
| qrecc-836-t4 | 6 | yes | yes | - | yes | no | 1018 | yes | Did Hedy Lamarr perform well according to people in her early roles?; How was Hedy Lamarr's performance received in her first film roles? |
| qrecc-337-t2 | 2 | yes | yes | - | yes | no | 1184 | yes | Eddie Rabbitt's music style before the crossover; Eddie Rabbitt's early career in music; Eddie Rabbitt's musical influences before the 1980s |
| qrecc-1063-t3 | 4 | yes | yes | - | yes | no | 868 | yes | What was Robert Fleischman's role with Journey?; Robert Fleischman Journey band role |
| qrecc-2675-t3 | 4 | yes | no | - | no | no | 491 | no |  |
| qrecc-2229-t3 | 4 | yes | yes | - | yes | no | 981 | yes | What was the first video game and what was its name; Who created the first video game and when was it released |
| qrecc-641-t5 | 8 | yes | yes | - | yes | no | 950 | no | Vivien Leigh other films; Vivien Leigh filmography; Vivien Leigh acting career |
| qrecc-1362-t2 | 2 | yes | yes | - | yes | no | 1124 | no | interesting aspects of Let's Go by The Offspring; other achievements of The Offspring besides Let's Go; notable events related to The Offspring's Let's Go album |
| qrecc-1258-t4 | 6 | yes | no | - | yes | no | 409 | no |  |
| qrecc-79-t6 | 10 | yes | yes | - | yes | no | 1011 | yes | What is the functionalist theory in sociology; Key aspects of functionalist theory; Main contributors to functionalist theory |
| qrecc-1906-t5 | 8 | yes | yes | - | no | no | 579 | yes | When was the flag of Michigan adopted |
| qrecc-1611-t5 | 8 | yes | yes | - | yes | no | 912 | no | Interesting aspects of The Big Reunion; Other details about The Big Reunion; Unique elements of The Big Reunion |
| qrecc-2349-t2 | 2 | yes | yes | - | yes | no | 1219 | yes | Why does Pittsburgh have an 'h' in its name?; History of the name Pittsburgh and the 'h' in it; Origin of the 'h' in Pittsburgh's name |
| qrecc-2572-t3 | 4 | yes | yes | - | yes | no | 964 | yes | Did anyone die from Hurricane Dora in Jacksonville?; Casualties from Hurricane Dora in 1964 |
| qrecc-924-t4 | 6 | yes | yes | - | yes | no | 807 | yes | reasons for firing Michael Savage from MSNBC; additional reasons for Michael Savage's firing from MSNBC show |
| qrecc-932-t3 | 4 | yes | yes | - | yes | no | 622 | no | Steel's main enemy in Justice League: Gods and Monsters |
| qrecc-100-t5 | 7 | yes | yes | - | yes | no | 1197 | yes | Kevin Durant awards 2010-2012; Kevin Durant awards during his time with the Thunder; Kevin Durant awards 2011-2012 season |
| qrecc-380-t4 | 6 | yes | yes | - | yes | no | 1398 | no | Notable cases Jeanine Pirro worked on after 1994; Jeanine Pirro legal cases post 1994; Significant legal cases involving Jeanine Pirro after 1994 |
| qrecc-449-t4 | 6 | yes | yes | - | yes | no | 974 | yes | Etruscans conflicts with other civilizations; Etruscan wars with Rome; Etruscan interactions with neighboring cultures |
| qrecc-1422-t9 | 12 | yes | no | - | no | no | 418 | no |  |
| qrecc-1609-t5 | 7 | yes | yes | - | yes | no | 1303 | yes | Events in 2010 related to Bleeding Through; What happened in 2010 with Bleeding Through band; Bleeding Through 2010 activities and news |
| qrecc-457-t4 | 6 | yes | yes | - | yes | no | 808 | yes | Jack Abramoff political allies; Jack Abramoff key alliances; Jack Abramoff specific political connections |
| qrecc-1150-t2 | 2 | yes | yes | - | yes | no | 872 | no | Yazid's actions during his reign; Yazid's policies and events; Yazid's other activities |
| qrecc-975-t6 | 8 | yes | no | - | yes | no | 419 | no |  |
| qrecc-763-t7 | 12 | yes | yes | - | yes | no | 1543 | yes | Why was Suzanne Lenglen forbidden to play Helen Wills in 1926; Reasons behind Suzanne Lenglen's ban from playing Helen Wills; Suzanne Lenglen and Helen Wills rivalry 1926 |
| qrecc-1914-t4 | 6 | yes | yes | - | yes | no | 658 | no | What were the names of the mosques in Timbuktu |
| qrecc-651-t4 | 6 | yes | yes | - | yes | no | 1258 | yes | Did Marquis de Sade receive a degree from his military academy?; What was the educational background of Marquis de Sade?; Did Marquis de Sade earn a formal degree? |
| qrecc-1613-t5 | 8 | yes | yes | - | yes | no | 974 | yes | interesting facts about Charles Nelson Reilly's toupee; details about Charles Nelson Reilly's toupée |
| qrecc-579-t3 | 4 | yes | yes | - | yes | no | 888 | yes | Where did the person go after leaving the golden temple?; What was the next destination of the individual after the golden temple? |
| qrecc-257-t7 | 12 | yes | yes | - | yes | no | 1207 | no | What happened after the Age of Discovery?; What were the consequences of the Age of Discovery?; What was the impact of the Age of Discovery on global history? |
| qrecc-1303-t6 | 10 | yes | yes | - | yes | no | 1243 | yes | successful singles from R.E.M.'s Murmur album; R.E.M. Murmur album singles success; did R.E.M.'s Murmur album have successful singles |
| qrecc-2080-t3 | 4 | yes | yes | - | yes | no | 830 | yes | When is the Praxis test required for teacher certification; When do educators need to take the Praxis test |
| qrecc-1687-t5 | 7 | yes | no | - | yes | no | 520 | no |  |
| qrecc-522-t2 | 2 | yes | yes | - | yes | no | 1584 | yes | Issues Tara Maclay had with Willow Rosenberg's use of magic in season 6 of Buffy the Vampire Slayer; Tara's ethical concerns about Willow's magic in season 6; Tara Maclay's stance on Willow's magic use in season 6 of Buffy |
| qrecc-1392-t8 | 9 | yes | yes | - | yes | no | 1132 | yes | Did Art Bell and Airyn Ruiz stay married?; What was the duration of Art Bell's marriage to Airyn Ruiz?; When did Art Bell and Airyn Ruiz get divorced? |
| qrecc-897-t2 | 2 | yes | yes | - | no | no | 671 | no | When was she born?; Birth date of Milfield, Northumberland |
| qrecc-883-t3 | 4 | yes | yes | - | yes | no | 909 | no | What disease did the band have in 1995?; Disease related to the band in 1995 |
| qrecc-1435-t4 | 5 | yes | yes | - | yes | no | 954 | yes | Maurice Malpas other teams coached; Maurice Malpas coaching career teams; Maurice Malpas other coaching positions |
